,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dlxr,0.00266,0.00309,0.0116,0.00268,0.00315,0.0117,-0.00947,-0.00934,0.0110,0.00155,0.00207,0.0106,0.00155,0.00211,0.0107,-0.0110,-0.0107,0.00957,-0.0161,-0.0159,0.00380,-0.0158,-0.0156,0.00406,-0.0168,-0.0167,0.00300,-0.0117,-0.0115,0.0114,-0.0116,-0.0114,0.0114,-0.0124,-0.0123,0.0104,-0.0127,-0.0123,0.0107,-0.0126,-0.0122,0.0107,-0.0138,-0.0135,0.00930,-0.0207,-0.0204,-0.000374,-0.0204,-0.0202,-0.000124,-0.0217,-0.0215,-0.00160,,
,(0.0379),(0.0388),(0.0378),(0.0376),(0.0385),(0.0376),(0.0367),(0.0377),(0.0372),(0.0382),(0.0390),(0.0383),(0.0379),(0.0388),(0.0380),(0.0369),(0.0380),(0.0375),(0.0350),(0.0362),(0.0369),(0.0359),(0.0372),(0.0377),(0.0357),(0.0372),(0.0375),(0.0378),(0.0386),(0.0387),(0.0376),(0.0384),(0.0389),(0.0372),(0.0381),(0.0385),(0.0381),(0.0388),(0.0390),(0.0378),(0.0386),(0.0392),(0.0373),(0.0382),(0.0386),(0.0349),(0.0360),(0.0374),(0.0358),(0.0369),(0.0386),(0.0355),(0.0367),(0.0381),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dlgep,0.0148***,0.0155***,0.0171***,0.0145***,0.0154***,0.0169***,0.0151***,0.0161***,0.0172***,0.0149***,0.0156***,0.0173***,0.0147***,0.0155***,0.0171***,0.0154***,0.0163***,0.0176***,0.0150***,0.0162***,0.0174***,0.0148***,0.0160***,0.0172***,0.0151***,0.0165***,0.0177***,0.0161***,0.0169***,0.0171***,0.0159***,0.0167***,0.0169***,0.0163***,0.0172***,0.0173***,0.0162***,0.0170***,0.0173***,0.0160***,0.0168***,0.0171***,0.0165***,0.0174***,0.0176***,0.0165***,0.0177***,0.0179***,0.0163***,0.0175***,0.0177***,0.0168***,0.0181***,0.0183***,,
,(0.00280),(0.00295),(0.00308),(0.00276),(0.00285),(0.00304),(0.00295),(0.00309),(0.00314),(0.00279),(0.00297),(0.00313),(0.00275),(0.00286),(0.00308),(0.00298),(0.00313),(0.00320),(0.00275),(0.00305),(0.00307),(0.00271),(0.00291),(0.00301),(0.00292),(0.00315),(0.00319),(0.00287),(0.00308),(0.00310),(0.00284),(0.00298),(0.00305),(0.00306),(0.00320),(0.00319),(0.00287),(0.00310),(0.00315),(0.00284),(0.00299),(0.00309),(0.00308),(0.00322),(0.00324),(0.00264),(0.00292),(0.00299),(0.00262),(0.00283),(0.00293),(0.00290),(0.00311),(0.00313),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Dlgep,,-0.00232,-0.00613,,-0.00252,-0.00632,,-0.00302,-0.00644,,-0.00219,-0.00602,,-0.00239,-0.00621,,-0.00288,-0.00635,,-0.00394,-0.00726*,,-0.00409,-0.00740*,,-0.00425,-0.00753*,,-0.00248,-0.00610,,-0.00268,-0.00628,,-0.00287,-0.00636,,-0.00237,-0.00603,,-0.00256,-0.00621,,-0.00274,-0.00631,,-0.00383,-0.00683,,-0.00397,-0.00698*,,-0.00415,-0.00708*,,
,,(0.00343),(0.00380),,(0.00332),(0.00355),,(0.00328),(0.00349),,(0.00345),(0.00385),,(0.00334),(0.00358),,(0.00330),(0.00352),,(0.00344),(0.00347),,(0.00330),(0.00323),,(0.00328),(0.00324),,(0.00351),(0.00384),,(0.00339),(0.00359),,(0.00334),(0.00355),,(0.00353),(0.00389),,(0.00341),(0.00362),,(0.00336),(0.00359),,(0.00353),(0.00354),,(0.00337),(0.00329),,(0.00336),(0.00331),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2.Dlgep,,,0.00938*,,,0.00936*,,,0.00930*,,,0.00966*,,,0.00964*,,,0.00960*,,,0.00926*,,,0.00926*,,,0.00922*,,,0.00932*,,,0.00927*,,,0.00914,,,0.00969*,,,0.00965*,,,0.00953*,,,0.00821,,,0.00820,,,0.00808,,
,,,(0.00441),,,(0.00433),,,(0.00436),,,(0.00439),,,(0.00429),,,(0.00432),,,(0.00399),,,(0.00396),,,(0.00398),,,(0.00465),,,(0.00461),,,(0.00465),,,(0.00462),,,(0.00457),,,(0.00460),,,(0.00425),,,(0.00425),,,(0.00424),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Dlxr,,,,-0.0619,-0.0628,-0.0620,-0.0611,-0.0621,-0.0618,,,,-0.0620,-0.0628,-0.0621,-0.0612,-0.0621,-0.0619,,,,-0.0551,-0.0562,-0.0561,-0.0548,-0.0559,-0.0559,,,,-0.0618,-0.0627,-0.0620,-0.0615,-0.0624,-0.0619,,,,-0.0619,-0.0627,-0.0621,-0.0616,-0.0625,-0.0619,,,,-0.0552,-0.0562,-0.0561,-0.0549,-0.0559,-0.0559,,
,,,,(0.0361),(0.0366),(0.0374),(0.0366),(0.0372),(0.0377),,,,(0.0363),(0.0367),(0.0376),(0.0368),(0.0375),(0.0379),,,,(0.0363),(0.0362),(0.0366),(0.0368),(0.0368),(0.0372),,,,(0.0359),(0.0364),(0.0375),(0.0362),(0.0368),(0.0378),,,,(0.0361),(0.0366),(0.0377),(0.0364),(0.0371),(0.0380),,,,(0.0352),(0.0350),(0.0362),(0.0358),(0.0357),(0.0368),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2.Dlxr,,,,,,,-0.0197,-0.0222,-0.0183,,,,,,,-0.0243,-0.0262,-0.0243,,,,,,,-0.0224,-0.0253,-0.0234,,,,,,,-0.0230,-0.0253,-0.0187,,,,,,,-0.0272,-0.0290,-0.0244,,,,,,,-0.0267,-0.0295,-0.0255,,
,,,,,,,(0.0403),(0.0403),(0.0388),,,,,,,(0.0429),(0.0427),(0.0405),,,,,,,(0.0402),(0.0397),(0.0378),,,,,,,(0.0410),(0.0409),(0.0397),,,,,,,(0.0433),(0.0429),(0.0412),,,,,,,(0.0403),(0.0395),(0.0383),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.Dlm,,,,,,,,,,0.00506,0.00457,0.00755,0.00517,0.00463,0.00760,0.00641,0.00586,0.00884,0.00963,0.00891,0.0118,0.00961,0.00886,0.0117,0.0108,0.0102,0.0129,,,,,,,,,,0.00451,0.00399,0.00757,0.00461,0.00404,0.00761,0.00604,0.00552,0.00881,0.00928,0.00859,0.0113,0.00926,0.00854,0.0113,0.0107,0.0100,0.0125,,
,,,,,,,,,,(0.0102),(0.0102),(0.0106),(0.0106),(0.0107),(0.0110),(0.0113),(0.0114),(0.0115),(0.0105),(0.0104),(0.0106),(0.0108),(0.0109),(0.0110),(0.0118),(0.0119),(0.0119),,,,,,,,,,(0.0105),(0.0105),(0.0107),(0.0109),(0.0110),(0.0110),(0.0116),(0.0118),(0.0116),(0.0110),(0.0110),(0.0108),(0.0113),(0.0115),(0.0112),(0.0124),(0.0125),(0.0122),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2.Dlm,,,,,,,,,,,,,,,,,,,-0.0333**,-0.0345**,-0.0336*,-0.0324**,-0.0337**,-0.0328*,-0.0324**,-0.0337**,-0.0328*,,,,,,,,,,,,,,,,,,,-0.0364**,-0.0376**,-0.0350*,-0.0356**,-0.0368**,-0.0342*,-0.0355**,-0.0368**,-0.0343*,,
,,,,,,,,,,,,,,,,,,,(0.0122),(0.0125),(0.0134),(0.0121),(0.0123),(0.0131),(0.0120),(0.0122),(0.0129),,,,,,,,,,,,,,,,,,,(0.0133),(0.0135),(0.0143),(0.0131),(0.0133),(0.0140),(0.0130),(0.0132),(0.0137),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_cons,0.00250***,0.00244***,0.00246***,0.00261***,0.00254***,0.00256***,0.00272***,0.00265***,0.00261***,0.00248***,0.00242***,0.00242***,0.00258***,0.00252***,0.00253***,0.00270***,0.00263***,0.00258***,0.00281***,0.00272***,0.00268***,0.00290***,0.00281***,0.00276***,0.00296***,0.00287***,0.00282***,0.00225**,0.00219**,0.00245***,0.00235***,0.00229**,0.00254***,0.00240***,0.00234***,0.00258***,0.00223**,0.00217**,0.00243***,0.00233***,0.00227**,0.00253***,0.00239***,0.00233***,0.00257***,0.00237***,0.00229**,0.00250***,0.00246***,0.00237***,0.00258***,0.00251***,0.00243***,0.00263***,,
,(0.000621),(0.000644),(0.000632),(0.000601),(0.000623),(0.000612),(0.000598),(0.000620),(0.000616),(0.000616),(0.000642),(0.000632),(0.000595),(0.000619),(0.000612),(0.000595),(0.000619),(0.000617),(0.000598),(0.000618),(0.000618),(0.000580),(0.000599),(0.000602),(0.000581),(0.000602),(0.000604),(0.000686),(0.000702),(0.000671),(0.000662),(0.000675),(0.000647),(0.000660),(0.000675),(0.000648),(0.000687),(0.000704),(0.000678),(0.000663),(0.000678),(0.000655),(0.000665),(0.000682),(0.000659),(0.000670),(0.000679),(0.000657),(0.000650),(0.000657),(0.000639),(0.000645),(0.000656),(0.000643),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,94,94,93,94,94,93,93,93,93,94,94,93,94,94,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,,
aic,-711,-709.3,-705.8,-711,-709.4,-705.9,-702.2,-700.7,-704.1,-709.2,-707.5,-704.2,-709.2,-707.5,-704.3,-700.5,-698.9,-702.6,-708.2,-707.1,-710.7,-707.9,-706.9,-710.7,-706.2,-705.2,-709,-703,-701.3,-703.8,-703,-701.4,-703.9,-701.3,-699.7,-702.1,-701.1,-699.4,-702.2,-701.1,-699.5,-702.3,-699.5,-697.9,-700.6,-708.5,-707.4,-709.1,-708.3,-707.2,-709,-706.7,-705.7,-707.4,-711,-711
bic,-698.3,-694.1,-688,-695.8,-691.6,-685.6,-684.5,-680.4,-681.3,-693.9,-689.7,-683.9,-691.4,-687.2,-681.5,-680.2,-676.1,-677.3,-690.5,-686.8,-687.9,-687.6,-684.1,-685.3,-683.4,-679.9,-681.1,-687.8,-683.6,-683.5,-685.3,-681.1,-681.1,-681,-676.9,-676.8,-683.4,-679.1,-679.4,-680.9,-676.7,-677,-676.7,-672.6,-672.8,-688.2,-684.6,-683.8,-685.5,-681.9,-681.2,-681.3,-677.9,-677,-698.3,-695.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard errors in parentheses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
